"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Gender"	"Gender Code"	Births
	"2007"	"2007"	"Wyoming"	"56"	"Female"	"F"	3880
	"2007"	"2007"	"Wyoming"	"56"	"Male"	"M"	4013
"Total"	"2007"	"2007"	"Wyoming"	"56"			7893
"Total"	"2007"	"2007"					4316233
	"2008"	"2008"	"Alabama"	"01"	"Female"	"F"	31672
	"2008"	"2008"	"Alabama"	"01"	"Male"	"M"	32874
"Total"	"2008"	"2008"	"Alabama"	"01"			64546
	"2008"	"2008"	"Alaska"	"02"	"Female"	"F"	5518
	"2008"	"2008"	"Alaska"	"02"	"Male"	"M"	5924
"Total"	"2008"	"2008"	"Alaska"	"02"			11442
	"2008"	"2008"	"Arizona"	"04"	"Female"	"F"	48672
	"2008"	"2008"	"Arizona"	"04"	"Male"	"M"	50770
"Total"	"2008"	"2008"	"Arizona"	"04"			99442
	"2008"	"2008"	"Arkansas"	"05"	"Female"	"F"	19870
	"2008"	"2008"	"Arkansas"	"05"	"Male"	"M"	20799
"Total"	"2008"	"2008"	"Arkansas"	"05"			40669
	"2008"	"2008"	"California"	"06"	"Female"	"F"	269041
	"2008"	"2008"	"California"	"06"	"Male"	"M"	282738
"Total"	"2008"	"2008"	"California"	"06"			551779
	"2008"	"2008"	"Colorado"	"08"	"Female"	"F"	33958
	"2008"	"2008"	"Colorado"	"08"	"Male"	"M"	36073
"Total"	"2008"	"2008"	"Colorado"	"08"			70031
	"2008"	"2008"	"Connecticut"	"09"	"Female"	"F"	19619
	"2008"	"2008"	"Connecticut"	"09"	"Male"	"M"	20780
"Total"	"2008"	"2008"	"Connecticut"	"09"			40399
	"2008"	"2008"	"Delaware"	"10"	"Female"	"F"	5917
	"2008"	"2008"	"Delaware"	"10"	"Male"	"M"	6173
"Total"	"2008"	"2008"	"Delaware"	"10"			12090
	"2008"	"2008"	"District of Columbia"	"11"	"Female"	"F"	4486
	"2008"	"2008"	"District of Columbia"	"11"	"Male"	"M"	4644
"Total"	"2008"	"2008"	"District of Columbia"	"11"			9130
	"2008"	"2008"	"Florida"	"12"	"Female"	"F"	112627
	"2008"	"2008"	"Florida"	"12"	"Male"	"M"	118818
"Total"	"2008"	"2008"	"Florida"	"12"			231445
	"2008"	"2008"	"Georgia"	"13"	"Female"	"F"	71562
	"2008"	"2008"	"Georgia"	"13"	"Male"	"M"	75041
"Total"	"2008"	"2008"	"Georgia"	"13"			146603
	"2008"	"2008"	"Hawaii"	"15"	"Female"	"F"	9397
	"2008"	"2008"	"Hawaii"	"15"	"Male"	"M"	10087
"Total"	"2008"	"2008"	"Hawaii"	"15"			19484
	"2008"	"2008"	"Idaho"	"16"	"Female"	"F"	12382
	"2008"	"2008"	"Idaho"	"16"	"Male"	"M"	12767
"Total"	"2008"	"2008"	"Idaho"	"16"			25149
	"2008"	"2008"	"Illinois"	"17"	"Female"	"F"	86805
	"2008"	"2008"	"Illinois"	"17"	"Male"	"M"	89990
"Total"	"2008"	"2008"	"Illinois"	"17"			176795
	"2008"	"2008"	"Indiana"	"18"	"Female"	"F"	43390
	"2008"	"2008"	"Indiana"	"18"	"Male"	"M"	45352
"Total"	"2008"	"2008"	"Indiana"	"18"			88742
	"2008"	"2008"	"Iowa"	"19"	"Female"	"F"	19615
	"2008"	"2008"	"Iowa"	"19"	"Male"	"M"	20609
"Total"	"2008"	"2008"	"Iowa"	"19"			40224
	"2008"	"2008"	"Kansas"	"20"	"Female"	"F"	20442
	"2008"	"2008"	"Kansas"	"20"	"Male"	"M"	21391
"Total"	"2008"	"2008"	"Kansas"	"20"			41833
	"2008"	"2008"	"Kentucky"	"21"	"Female"	"F"	28700
	"2008"	"2008"	"Kentucky"	"21"	"Male"	"M"	29675
"Total"	"2008"	"2008"	"Kentucky"	"21"			58375
	"2008"	"2008"	"Louisiana"	"22"	"Female"	"F"	31888
	"2008"	"2008"	"Louisiana"	"22"	"Male"	"M"	33380
"Total"	"2008"	"2008"	"Louisiana"	"22"			65268
	"2008"	"2008"	"Maine"	"23"	"Female"	"F"	6643
	"2008"	"2008"	"Maine"	"23"	"Male"	"M"	6966
"Total"	"2008"	"2008"	"Maine"	"23"			13609
	"2008"	"2008"	"Maryland"	"24"	"Female"	"F"	37744
	"2008"	"2008"	"Maryland"	"24"	"Male"	"M"	39545
"Total"	"2008"	"2008"	"Maryland"	"24"			77289
	"2008"	"2008"	"Massachusetts"	"25"	"Female"	"F"	37556
	"2008"	"2008"	"Massachusetts"	"25"	"Male"	"M"	39466
"Total"	"2008"	"2008"	"Massachusetts"	"25"			77022
	"2008"	"2008"	"Michigan"	"26"	"Female"	"F"	59147
	"2008"	"2008"	"Michigan"	"26"	"Male"	"M"	61980
"Total"	"2008"	"2008"	"Michigan"	"26"			121127
	"2008"	"2008"	"Minnesota"	"27"	"Female"	"F"	35373
	"2008"	"2008"	"Minnesota"	"27"	"Male"	"M"	37048
"Total"	"2008"	"2008"	"Minnesota"	"27"			72421
	"2008"	"2008"	"Mississippi"	"28"	"Female"	"F"	22102
	"2008"	"2008"	"Mississippi"	"28"	"Male"	"M"	22845
"Total"	"2008"	"2008"	"Mississippi"	"28"			44947
	"2008"	"2008"	"Missouri"	"29"	"Female"	"F"	39543
	"2008"	"2008"	"Missouri"	"29"	"Male"	"M"	41420
"Total"	"2008"	"2008"	"Missouri"	"29"			80963
	"2008"	"2008"	"Montana"	"30"	"Female"	"F"	6132
	"2008"	"2008"	"Montana"	"30"	"Male"	"M"	6462
"Total"	"2008"	"2008"	"Montana"	"30"			12594
	"2008"	"2008"	"Nebraska"	"31"	"Female"	"F"	13232
	"2008"	"2008"	"Nebraska"	"31"	"Male"	"M"	13757
"Total"	"2008"	"2008"	"Nebraska"	"31"			26989
	"2008"	"2008"	"Nevada"	"32"	"Female"	"F"	19300
	"2008"	"2008"	"Nevada"	"32"	"Male"	"M"	20206
"Total"	"2008"	"2008"	"Nevada"	"32"			39506
	"2008"	"2008"	"New Hampshire"	"33"	"Female"	"F"	6662
	"2008"	"2008"	"New Hampshire"	"33"	"Male"	"M"	7021
"Total"	"2008"	"2008"	"New Hampshire"	"33"			13683
	"2008"	"2008"	"New Jersey"	"34"	"Female"	"F"	55055
	"2008"	"2008"	"New Jersey"	"34"	"Male"	"M"	57655
"Total"	"2008"	"2008"	"New Jersey"	"34"			112710
	"2008"	"2008"	"New Mexico"	"35"	"Female"	"F"	14830
	"2008"	"2008"	"New Mexico"	"35"	"Male"	"M"	15343
"Total"	"2008"	"2008"	"New Mexico"	"35"			30173
	"2008"	"2008"	"New York"	"36"	"Female"	"F"	121816
	"2008"	"2008"	"New York"	"36"	"Male"	"M"	128567
"Total"	"2008"	"2008"	"New York"	"36"			250383
	"2008"	"2008"	"North Carolina"	"37"	"Female"	"F"	63765
	"2008"	"2008"	"North Carolina"	"37"	"Male"	"M"	67074
"Total"	"2008"	"2008"	"North Carolina"	"37"			130839
	"2008"	"2008"	"North Dakota"	"38"	"Female"	"F"	4365
	"2008"	"2008"	"North Dakota"	"38"	"Male"	"M"	4573
"Total"	"2008"	"2008"	"North Dakota"	"38"			8938
	"2008"	"2008"	"Ohio"	"39"	"Female"	"F"	73023
	"2008"	"2008"	"Ohio"	"39"	"Male"	"M"	75798
"Total"	"2008"	"2008"	"Ohio"	"39"			148821
	"2008"	"2008"	"Oklahoma"	"40"	"Female"	"F"	26857
	"2008"	"2008"	"Oklahoma"	"40"	"Male"	"M"	27924
"Total"	"2008"	"2008"	"Oklahoma"	"40"			54781
	"2008"	"2008"	"Oregon"	"41"	"Female"	"F"	23951
	"2008"	"2008"	"Oregon"	"41"	"Male"	"M"	25145
"Total"	"2008"	"2008"	"Oregon"	"41"			49096
	"2008"	"2008"	"Pennsylvania"	"42"	"Female"	"F"	72690
	"2008"	"2008"	"Pennsylvania"	"42"	"Male"	"M"	76583
"Total"	"2008"	"2008"	"Pennsylvania"	"42"			149273
	"2008"	"2008"	"Rhode Island"	"44"	"Female"	"F"	5857
	"2008"	"2008"	"Rhode Island"	"44"	"Male"	"M"	6191
"Total"	"2008"	"2008"	"Rhode Island"	"44"			12048
	"2008"	"2008"	"South Carolina"	"45"	"Female"	"F"	30940
	"2008"	"2008"	"South Carolina"	"45"	"Male"	"M"	32131
"Total"	"2008"	"2008"	"South Carolina"	"45"			63071
	"2008"	"2008"	"South Dakota"	"46"	"Female"	"F"	5857
	"2008"	"2008"	"South Dakota"	"46"	"Male"	"M"	6214
"Total"	"2008"	"2008"	"South Dakota"	"46"			12071
	"2008"	"2008"	"Tennessee"	"47"	"Female"	"F"	42002
	"2008"	"2008"	"Tennessee"	"47"	"Male"	"M"	43558
"Total"	"2008"	"2008"	"Tennessee"	"47"			85560
	"2008"	"2008"	"Texas"	"48"	"Female"	"F"	197894
	"2008"	"2008"	"Texas"	"48"	"Male"	"M"	207660
"Total"	"2008"	"2008"	"Texas"	"48"			405554
	"2008"	"2008"	"Utah"	"49"	"Female"	"F"	27107
	"2008"	"2008"	"Utah"	"49"	"Male"	"M"	28527
"Total"	"2008"	"2008"	"Utah"	"49"			55634
	"2008"	"2008"	"Vermont"	"50"	"Female"	"F"	3089
	"2008"	"2008"	"Vermont"	"50"	"Male"	"M"	3250
"Total"	"2008"	"2008"	"Vermont"	"50"			6339
	"2008"	"2008"	"Virginia"	"51"	"Female"	"F"	52391
	"2008"	"2008"	"Virginia"	"51"	"Male"	"M"	54295
"Total"	"2008"	"2008"	"Virginia"	"51"			106686
	"2008"	"2008"	"Washington"	"53"	"Female"	"F"	44210
	"2008"	"2008"	"Washington"	"53"	"Male"	"M"	46111
"Total"	"2008"	"2008"	"Washington"	"53"			90321
	"2008"	"2008"	"West Virginia"	"54"	"Female"	"F"	10358
	"2008"	"2008"	"West Virginia"	"54"	"Male"	"M"	11143
"Total"	"2008"	"2008"	"West Virginia"	"54"			21501
	"2008"	"2008"	"Wisconsin"	"55"	"Female"	"F"	35300
	"2008"	"2008"	"Wisconsin"	"55"	"Male"	"M"	36961
"Total"	"2008"	"2008"	"Wisconsin"	"55"			72261
	"2008"	"2008"	"Wyoming"	"56"	"Female"	"F"	3953
	"2008"	"2008"	"Wyoming"	"56"	"Male"	"M"	4085
"Total"	"2008"	"2008"	"Wyoming"	"56"			8038
"Total"	"2008"	"2008"					4247694
	"2009"	"2009"	"Alabama"	"01"	"Female"	"F"	30725
	"2009"	"2009"	"Alabama"	"01"	"Male"	"M"	31750
"Total"	"2009"	"2009"	"Alabama"	"01"			62475
	"2009"	"2009"	"Alaska"	"02"	"Female"	"F"	5359
	"2009"	"2009"	"Alaska"	"02"	"Male"	"M"	5965
"Total"	"2009"	"2009"	"Alaska"	"02"			11324
	"2009"	"2009"	"Arizona"	"04"	"Female"	"F"	45362
	"2009"	"2009"	"Arizona"	"04"	"Male"	"M"	47436
"Total"	"2009"	"2009"	"Arizona"	"04"			92798
	"2009"	"2009"	"Arkansas"	"05"	"Female"	"F"	19309
	"2009"	"2009"	"Arkansas"	"05"	"Male"	"M"	20499
"Total"	"2009"	"2009"	"Arkansas"	"05"			39808
	"2009"	"2009"	"California"	"06"	"Female"	"F"	257071
	"2009"	"2009"	"California"	"06"	"Male"	"M"	269949
"Total"	"2009"	"2009"	"California"	"06"			527020
	"2009"	"2009"	"Colorado"	"08"	"Female"	"F"	33448
	"2009"	"2009"	"Colorado"	"08"	"Male"	"M"	35180
"Total"	"2009"	"2009"	"Colorado"	"08"			68628
	"2009"	"2009"	"Connecticut"	"09"	"Female"	"F"	19061
	"2009"	"2009"	"Connecticut"	"09"	"Male"	"M"	19835
"Total"	"2009"	"2009"	"Connecticut"	"09"			38896
	"2009"	"2009"	"Delaware"	"10"	"Female"	"F"	5659
	"2009"	"2009"	"Delaware"	"10"	"Male"	"M"	5900
"Total"	"2009"	"2009"	"Delaware"	"10"			11559
	"2009"	"2009"	"District of Columbia"	"11"	"Female"	"F"	4421
	"2009"	"2009"	"District of Columbia"	"11"	"Male"	"M"	4619
"Total"	"2009"	"2009"	"District of Columbia"	"11"			9040
	"2009"	"2009"	"Florida"	"12"	"Female"	"F"	108243
	"2009"	"2009"	"Florida"	"12"	"Male"	"M"	113151
"Total"	"2009"	"2009"	"Florida"	"12"			221394
	"2009"	"2009"	"Georgia"	"13"	"Female"	"F"	69028
	"2009"	"2009"	"Georgia"	"13"	"Male"	"M"	72349
"Total"	"2009"	"2009"	"Georgia"	"13"			141377
	"2009"	"2009"	"Hawaii"	"15"	"Female"	"F"	9215
	"2009"	"2009"	"Hawaii"	"15"	"Male"	"M"	9672
"Total"	"2009"	"2009"	"Hawaii"	"15"			18887
	"2009"	"2009"	"Idaho"	"16"	"Female"	"F"	11548
	"2009"	"2009"	"Idaho"	"16"	"Male"	"M"	12189
"Total"	"2009"	"2009"	"Idaho"	"16"			23737
	"2009"	"2009"	"Illinois"	"17"	"Female"	"F"	83410
	"2009"	"2009"	"Illinois"	"17"	"Male"	"M"	87753
"Total"	"2009"	"2009"	"Illinois"	"17"			171163
	"2009"	"2009"	"Indiana"	"18"	"Female"	"F"	42469
	"2009"	"2009"	"Indiana"	"18"	"Male"	"M"	44204
"Total"	"2009"	"2009"	"Indiana"	"18"			86673
	"2009"	"2009"	"Iowa"	"19"	"Female"	"F"	19422
	"2009"	"2009"	"Iowa"	"19"	"Male"	"M"	20279
"Total"	"2009"	"2009"	"Iowa"	"19"			39701
	"2009"	"2009"	"Kansas"	"20"	"Female"	"F"	20289
	"2009"	"2009"	"Kansas"	"20"	"Male"	"M"	21107
"Total"	"2009"	"2009"	"Kansas"	"20"			41396
	"2009"	"2009"	"Kentucky"	"21"	"Female"	"F"	27938
	"2009"	"2009"	"Kentucky"	"21"	"Male"	"M"	29613
"Total"	"2009"	"2009"	"Kentucky"	"21"			57551
	"2009"	"2009"	"Louisiana"	"22"	"Female"	"F"	31828
	"2009"	"2009"	"Louisiana"	"22"	"Male"	"M"	33145
"Total"	"2009"	"2009"	"Louisiana"	"22"			64973
	"2009"	"2009"	"Maine"	"23"	"Female"	"F"	6538
	"2009"	"2009"	"Maine"	"23"	"Male"	"M"	6932
"Total"	"2009"	"2009"	"Maine"	"23"			13470
	"2009"	"2009"	"Maryland"	"24"	"Female"	"F"	36866
	"2009"	"2009"	"Maryland"	"24"	"Male"	"M"	38193
"Total"	"2009"	"2009"	"Maryland"	"24"			75059
	"2009"	"2009"	"Massachusetts"	"25"	"Female"	"F"	36461
	"2009"	"2009"	"Massachusetts"	"25"	"Male"	"M"	38555
"Total"	"2009"	"2009"	"Massachusetts"	"25"			75016
	"2009"	"2009"	"Michigan"	"26"	"Female"	"F"	57133
	"2009"	"2009"	"Michigan"	"26"	"Male"	"M"	60161
"Total"	"2009"	"2009"	"Michigan"	"26"			117294
	"2009"	"2009"	"Minnesota"	"27"	"Female"	"F"	34322
	"2009"	"2009"	"Minnesota"	"27"	"Male"	"M"	36324
"Total"	"2009"	"2009"	"Minnesota"	"27"			70646
	"2009"	"2009"	"Mississippi"	"28"	"Female"	"F"	20975
	"2009"	"2009"	"Mississippi"	"28"	"Male"	"M"	21926
"Total"	"2009"	"2009"	"Mississippi"	"28"			42901
	"2009"	"2009"	"Missouri"	"29"	"Female"	"F"	38178
	"2009"	"2009"	"Missouri"	"29"	"Male"	"M"	40727
"Total"	"2009"	"2009"	"Missouri"	"29"			78905
	"2009"	"2009"	"Montana"	"30"	"Female"	"F"	6009
	"2009"	"2009"	"Montana"	"30"	"Male"	"M"	6248
"Total"	"2009"	"2009"	"Montana"	"30"			12257
	"2009"	"2009"	"Nebraska"	"31"	"Female"	"F"	13103
	"2009"	"2009"	"Nebraska"	"31"	"Male"	"M"	13833
"Total"	"2009"	"2009"	"Nebraska"	"31"			26936
	"2009"	"2009"	"Nevada"	"32"	"Female"	"F"	18289
	"2009"	"2009"	"Nevada"	"32"	"Male"	"M"	19323
"Total"	"2009"	"2009"	"Nevada"	"32"			37612
	"2009"	"2009"	"New Hampshire"	"33"	"Female"	"F"	6524
	"2009"	"2009"	"New Hampshire"	"33"	"Male"	"M"	6853
"Total"	"2009"	"2009"	"New Hampshire"	"33"			13377
	"2009"	"2009"	"New Jersey"	"34"	"Female"	"F"	53700
	"2009"	"2009"	"New Jersey"	"34"	"Male"	"M"	56631
"Total"	"2009"	"2009"	"New Jersey"	"34"			110331
	"2009"	"2009"	"New Mexico"	"35"	"Female"	"F"	14221
	"2009"	"2009"	"New Mexico"	"35"	"Male"	"M"	14779
"Total"	"2009"	"2009"	"New Mexico"	"35"			29000
	"2009"	"2009"	"New York"	"36"	"Female"	"F"	120877
	"2009"	"2009"	"New York"	"36"	"Male"	"M"	127233
"Total"	"2009"	"2009"	"New York"	"36"			248110
	"2009"	"2009"	"North Carolina"	"37"	"Female"	"F"	61838
	"2009"	"2009"	"North Carolina"	"37"	"Male"	"M"	65007
"Total"	"2009"	"2009"	"North Carolina"	"37"			126845
	"2009"	"2009"	"North Dakota"	"38"	"Female"	"F"	4418
	"2009"	"2009"	"North Dakota"	"38"	"Male"	"M"	4583
"Total"	"2009"	"2009"	"North Dakota"	"38"			9001
	"2009"	"2009"	"Ohio"	"39"	"Female"	"F"	70760
	"2009"	"2009"	"Ohio"	"39"	"Male"	"M"	74081
"Total"	"2009"	"2009"	"Ohio"	"39"			144841
	"2009"	"2009"	"Oklahoma"	"40"	"Female"	"F"	26559
	"2009"	"2009"	"Oklahoma"	"40"	"Male"	"M"	27994
"Total"	"2009"	"2009"	"Oklahoma"	"40"			54553
	"2009"	"2009"	"Oregon"	"41"	"Female"	"F"	22921
	"2009"	"2009"	"Oregon"	"41"	"Male"	"M"	24211
"Total"	"2009"	"2009"	"Oregon"	"41"			47132
	"2009"	"2009"	"Pennsylvania"	"42"	"Female"	"F"	71667
	"2009"	"2009"	"Pennsylvania"	"42"	"Male"	"M"	74767
"Total"	"2009"	"2009"	"Pennsylvania"	"42"			146434
